################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: xph2app003
#     Report Created on: Tue Jun  6 10:55:32 2017
#     Working Directory: /tp/xph2app/xph2app003/Prj_conception/Design/spy
#     Report Location  : ./spyglass-1/dft/dft_scan_ready/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : 5.6.0
#     Policy Name      : dft(5.6.0)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Initialized, Shift-Sim, Capture-Sim
70, CORDIC_top.cell3.\y_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
71, CORDIC_top.cell3.\y_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
72, CORDIC_top.cell3.\y_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
73, CORDIC_top.cell3.\y_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
74, CORDIC_top.cell3.\y_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
75, CORDIC_top.cell4.\z_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
76, CORDIC_top.cell4.\z_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
77, CORDIC_top.cell4.\z_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
78, CORDIC_top.cell4.\z_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
79, CORDIC_top.cell4.\z_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
80, CORDIC_top.cell4.\z_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
81, CORDIC_top.cell4.\z_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
82, CORDIC_top.cell4.\z_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
83, CORDIC_top.cell4.\x_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
84, CORDIC_top.cell4.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
85, CORDIC_top.cell4.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
86, CORDIC_top.cell4.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
87, CORDIC_top.cell4.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
88, CORDIC_top.cell4.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
89, CORDIC_top.cell4.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
90, CORDIC_top.cell4.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
91, CORDIC_top.cell4.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
92, CORDIC_top.cell4.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
93, CORDIC_top.cell4.\y_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
94, CORDIC_top.cell4.\y_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
95, CORDIC_top.cell4.\y_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
96, CORDIC_top.cell4.\y_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
97, CORDIC_top.cell4.\y_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
98, CORDIC_top.cell4.\y_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
99, CORDIC_top.cell5.\z_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
100, CORDIC_top.cell5.\z_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
101, CORDIC_top.cell5.\z_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
102, CORDIC_top.cell5.\z_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
103, CORDIC_top.cell5.\z_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
104, CORDIC_top.cell5.\z_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
105, CORDIC_top.cell5.\z_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
106, CORDIC_top.cell5.\z_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
107, CORDIC_top.cell5.\x_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
108, CORDIC_top.cell5.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
109, CORDIC_top.cell5.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
110, CORDIC_top.cell5.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
111, CORDIC_top.cell5.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
112, CORDIC_top.cell5.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
113, CORDIC_top.cell5.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
114, CORDIC_top.cell5.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
115, CORDIC_top.cell5.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
116, CORDIC_top.cell5.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
117, CORDIC_top.cell5.\y_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
118, CORDIC_top.cell5.\y_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
119, CORDIC_top.cell5.\y_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
120, CORDIC_top.cell5.\y_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
121, CORDIC_top.cell5.\y_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
122, CORDIC_top.cell5.\y_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
123, CORDIC_top.cell6.\z_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X, Q->X D->X
124, CORDIC_top.cell6.\z_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, observable, used, Q->X D->X, Q->X D->X, Q->X D->X
